"DEATHS","MONTH","COUNTRIESANDTERRITORIES"
56,"2020-04","Afghanistan"
259,"2020-06","Algeria"
202,"2020-05","Algeria"
230,"2020-10","Algeria"
295,"2020-07","Algeria"
227,"2020-11","Afghanistan"
0,"2020-07","Anguilla"
0,"2020-06","Anguilla"
0,"2020-10","Antigua_and_Barbuda"
37,"2020-07","Angola"
2,"2020-03","Angola"
0,"2020-11","Anguilla"
0,"2020-10","Anguilla"
11,"2020-10","Aruba"
2,"2020-04","Aruba"
1,"2020-12","Australia"
2031,"2020-07","Argentina"
0,"2019-12","Austria"
479,"2020-12","Azerbaijan"
128,"2020-10","Azerbaijan"
0,"2019-12","Australia"
447,"2020-05","Bangladesh"
0,"2020-11","Barbados"
0,"2020-09","Bermuda"
0,"2020-08","Bermuda"
0,"2020-09","Bhutan"
1,"2020-04","Botswana"
1408,"2020-11","Bosnia_and_Herzegovina"
0,"2020-09","Brunei_Darussalam"
0,"2020-04","Brunei_Darussalam"
83,"2020-06","Bulgaria"
159,"2020-03","Brazil"
0,"2020-08","Burundi"
0,"2020-06","Cambodia"
0,"2020-12","Burundi"
19,"2020-09","Cape_Verde"
46,"2020-06","Central_African_Republic"
2,"2020-04","Chad"
426,"2020-12","Chile"
1433,"2020-10","Chile"
0,"2020-08","Cayman_Islands"
1,"2020-03","Cayman_Islands"
0,"2020-12","China"
18,"2020-07","China"
2,"2020-03","Costa_Rica"
15,"2020-08","Cote_dIvoire"
22,"2020-08","Congo"
21,"2020-06","Congo"
530,"2020-08","Ethiopia"
0,"2020-10","Greenland"
2285,"2020-08","Indonesia"
23,"2020-04","Democratic_Republic_of_the_Congo"
0,"2020-12","Faroe_Islands"
0,"2020-11","Faroe_Islands"
0,"2020-12","Grenada"
0,"2020-04","Grenada"
366,"2020-04","Denmark"
0,"2020-12","Djibouti"
0,"2020-11","Djibouti"
0,"2020-06","Faroe_Islands"
0,"2020-07","Guam"
1,"2020-03","Guam"
210,"2020-12","Guatemala"
2723,"2020-03","Iran"
1,"2020-09","Djibouti"
5,"2020-07","Djibouti"
0,"2020-06","Fiji"
2288,"2020-08","Iraq"
135,"2020-10","Dominican_Republic"
6,"2020-08","Finland"
0,"2020-09","Guernsey"
13,"2020-04","Guernsey"
46,"2020-03","Iraq"
420,"2020-09","Dominican_Republic"
13,"2020-08","Guinea"
184,"2020-07","Israel"
0,"2020-01","Dominican_Republic"
1320,"2020-10","Ecuador"
2,"2020-02","France"
22,"2020-10","French_Polynesia"
1,"2020-12","Guinea_Bissau"
